WB_A3,NAM_0,GEM_PGA_mean,GEM_PGA_median,FLOOD_mean,FLOOD_median,STORM_mean,STORM_median
PRT,Portugal,0.256119450052356,0.2611837,0.0,0.0,32.44384210759943,32.565494537353516
PRT,Portugal,0.0862682040996594,0.0722896899999863,0.06164442612968447,0.0,25.902076745828847,25.911863327026367
PRT,Portugal,0.02849923099067415,0.02845632,0.00013205042891841444,0.0,27.365997314453125,27.37140655517578
SMR,San Marino,0.2048704735202341,0.19767279999998713,0.019955760240554808,0.0,0.0,0.0
TUN,Tunisia,0.10015645018022411,0.12321149894104458,0.020568742921614386,0.0,0.0,0.0
VAT,Vatican City,,,0.0,0.0,0.0,0.0
BEN,Benin,0.00494424032238702,0.0,0.06438081327582859,0.0,0.0,0.0
BFA,Burkina Faso,0.0,0.0,0.012880781601102126,0.0,0.0,0.0
CAF,Central African Republic,0.007314462651718309,0.0,0.04494812964866911,0.0,0.0,0.0
CIV,C̫te d'Ivoire,0.0024280613112870842,0.0,0.17259272819938412,0.0,0.0,0.0
CMR,Cameroon,0.014252865926821538,0.012085955943270764,0.06462502181040104,0.0,0.0,0.0
GHA,Ghana,0.02204033447747285,0.014476421495788844,0.3962100119428869,0.0,0.0,0.0
ISL,Iceland,0.1006232248095507,0.07689409712995114,0.025027568460651465,0.0,0.0,0.0
MLI,Mali,0.0018923804958655846,0.0,0.02371209015427344,0.0,0.0,0.0
NER,Niger,0.0,0.0,0.006735271105600914,0.0,0.0,0.0
NGA,Nigeria,0.003009669199387083,0.0,0.06110033507405076,0.0,0.0,0.0
TCD,Chad,0.0,0.0,0.0292446348571899,0.0,0.0,0.0
TGO,Togo,0.017874300549974433,0.012363771375969546,0.042522867217318704,0.0,0.0,0.0
USA,United States of America,0.08816235470623177,0.04648581173227018,0.05390316673551559,0.0,4.630135556063131,0.0
AGO,Angola,0.010027181560365198,0.006217982378213595,0.02540358140210824,0.0,0.0,0.0
BWA,Botswana,0.009752732848353199,0.0,0.010501611211121064,0.0,0.0,0.0
COG,Congo,0.023342946545275193,0.019125992374103194,0.06098158607566739,0.0,0.0,0.0
GAB,Gabon,0.018019116039291773,0.014523320870026467,0.15257787604157436,0.0,0.0,0.0
GNQ,Equatorial Guinea,0.011493699998660612,0.007904631772741113,0.04966687523839146,0.0,0.0,0.0
GRL,Greenland (Den.),,,0.000292361837522059,0.0,0.0,0.0
LBR,Liberia,0.014024283307125148,0.010269016523473628,0.04646691518055247,0.0,0.0,0.0
NAM,Namibia,0.022245538993040312,0.024447934999999997,0.007534060736237637,0.0,0.0,0.0
ZWE,Zimbabwe,0.2589865136160737,0.2658657432181743,0.08124484444672544,0.0,0.0,0.0
BRA,Brazil,0.006408888769619457,0.0,0.12146531627908119,0.0,0.0,0.0
BVT,Bouvet Island (Nor.),,,0.0,0.0,0.0,0.0
CPV,Cabo Verde,,,0.0003721603493004596,0.0,26.0364990234375,25.808712005615234
FJI,Fiji,0.1605243477908019,0.1370274102393613,0.027268750423333047,0.0,40.4994619576035,41.04243087768555
GIN,Guinea,0.0232533357880463,0.021294932548870635,0.03411541062472412,0.0,0.0,0.0
